City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
228,Vila Franca Do Campo,37.7167,-25.4333,72.19,91,100,10.36,PT,2021-09-25 23:28:19
229,La Ronge,55.1001,-105.2842,64.65,45,40,8.05,CA,2021-09-25 23:28:20
230,Vanimo,-2.6741,141.3028,80.33,87,68,4.59,PG,2021-09-25 23:28:20
231,San Patricio,28.017,-97.5169,88.21,42,3,12.86,US,2021-09-25 23:26:39
232,Blackwater,-23.5833,148.8833,73.92,45,2,5.82,AU,2021-09-25 23:28:20
233,Mawlaik,23.6333,94.4167,74.41,95,0,0.78,MM,2021-09-25 23:28:21
234,Lompoc,34.6391,-120.4579,84.02,76,1,5.99,US,2021-09-25 23:25:59
235,Turayf,31.6725,38.6637,64.65,45,0,9.22,SA,2021-09-25 23:28:21
236,Noumea,-22.2763,166.4572,75.18,59,63,12.8,NC,2021-09-25 23:27:59
237,Lamar,33.6668,-95.5836,87.96,29,1,5.75,US,2021-09-25 23:28:21
238,Grand Gaube,-20.0064,57.6608,72.0,74,5,5.99,MU,2021-09-25 23:28:22
239,Richards Bay,-28.783,32.0377,69.26,73,1,13.49,ZA,2021-09-25 23:26:13
240,Shimanovsk,52.0,127.7,50.65,83,51,5.91,RU,2021-09-25 23:25:42
241,Ekhabi,53.5102,142.9671,56.89,69,100,10.94,RU,2021-09-25 23:28:22
242,Saint George,37.1041,-113.5841,93.54,20,1,1.99,US,2021-09-25 23:20:58
243,Vila Velha,-20.3297,-40.2925,76.96,64,40,11.5,BR,2021-09-25 23:28:22
244,Rexburg,43.826,-111.7897,81.91,19,1,13.8,US,2021-09-25 23:28:23
245,Safford,32.834,-109.7076,86.92,32,1,4.61,US,2021-09-25 23:26:57
246,Yermekeyevo,54.0761,53.6712,49.59,74,100,2.91,RU,2021-09-25 23:28:23
247,Adrar,20.5022,-10.0711,94.24,22,62,4.79,MR,2021-09-25 23:26:55
248,Winnemucca,40.973,-117.7357,87.85,8,1,17.27,US,2021-09-25 23:26:51
249,Ahuimanu,21.4447,-157.8378,87.51,66,40,14.97,US,2021-09-25 23:28:23
250,Ilebo,-4.3167,20.5833,71.35,90,87,2.17,CD,2021-09-25 23:28:23
251,Weihai,37.5017,122.1136,69.96,87,100,7.96,CN,2021-09-25 23:28:24
252,Fairview,40.8126,-73.999,70.86,62,1,0.0,US,2021-09-25 23:24:06
253,Dhidhdhoo,6.8833,73.1,81.32,78,100,19.75,MV,2021-09-25 23:28:24
254,Grajau,-5.8194,-46.1386,88.79,32,72,4.0,BR,2021-09-25 23:28:24
255,Dallas,32.7668,-96.7836,91.78,29,20,1.01,US,2021-09-25 23:26:32
256,Yamada,39.4667,141.95,64.15,77,100,8.5,JP,2021-09-25 23:28:25
257,Briancon,44.9,6.65,61.0,89,56,2.57,FR,2021-09-25 23:28:25
258,Ust-Tsilma,65.441,52.1498,43.3,86,100,11.27,RU,2021-09-25 23:28:25
259,Bela,25.9333,81.9833,79.23,84,95,6.53,IN,2021-09-25 23:28:26
260,Cap Malheureux,-19.9842,57.6142,72.09,74,4,5.99,MU,2021-09-25 23:27:03
261,Shirokiy,49.758,129.523,50.79,79,4,4.92,RU,2021-09-25 23:28:26
262,Katherine,-14.4667,132.2667,80.92,61,61,4.61,AU,2021-09-25 23:28:26
263,Kamenka,51.3223,42.7678,49.59,83,83,10.31,RU,2021-09-25 23:26:26
264,Laguna,38.421,-121.4238,97.14,35,1,5.01,US,2021-09-25 23:27:27
265,Porto Santo,33.072,-16.3415,70.18,73,40,0.0,PT,2021-09-25 23:28:27
266,Constantine,36.365,6.6147,76.41,31,0,5.75,DZ,2021-09-25 23:28:27
